mouth_width,mouth_height,mouth_aspect_ratio,left_eye_height,right_eye_height,eye_openness,eye_aspect_ratio,eyebrow_raise_left,eyebrow_raise_right,eyebrow_slant_left,eyebrow_slant_right,jaw_drop,nose_mouth_dist,mouth_corner_diff,label
0.69252896,0.038365632,0.11118207,0.070516996,0.063881665,0.06719933,0.44665676,0.2921362,0.290484,0.5277905,0.5085454,1.2559489,0.30183908,0.04438114,happy
0.7269526,0.16351995,0.39187133,0.09096472,0.085987866,0.08847629,0.4963265,0.28023136,0.2938433,0.500022,0.49768513,1.1412694,0.3190963,0.010933715,happy
0.7551952,0.18515673,0.4819384,0.07011786,0.061650988,0.06588442,0.43745434,0.28959346,0.27616474,0.51568294,0.49168116,1.2408148,0.31660214,0.030565621,happy
0.74999684,0.082475424,0.2040269,0.07100854,0.073881,0.07244477,0.42824385,0.29701862,0.29619384,0.4959984,0.50034374,1.2409493,0.28847852,0.056254975,happy
0.80639744,0.18882479,0.44305938,0.07113204,0.06870408,0.06991806,0.42792958,0.31458563,0.29547858,0.5391925,0.5047179,1.2585422,0.32895306,0.019878993,happy
0.81630504,0.09757279,0.23745282,0.052483547,0.0573854,0.054934476,0.35850403,0.30008394,0.29257178,0.5075532,0.5100015,1.300234,0.30638665,0.0018465779,happy
0.7417125,0.060635723,0.16091259,0.059287447,0.0483917,0.05383957,0.35761333,0.26326224,0.28595322,0.4760946,0.5177889,1.240745,0.24584629,0.030905467,happy
0.7173255,0.11011238,0.30223942,0.094013765,0.082702585,0.08835818,0.5740917,0.2745593,0.28041387,0.5108294,0.5142335,1.2468108,0.26249188,0.050621886,happy
0.75035334,0.10161786,0.24978472,0.073533274,0.07843654,0.0759849,0.44990736,0.28893098,0.29056036,0.4969958,0.4926899,1.2379138,0.28637138,0.0526874,happy
0.7629183,0.13367927,0.33215234,0.047494642,0.056826506,0.052160576,0.3261422,0.28208113,0.29793516,0.49761963,0.51227665,1.2255597,0.29365575,0.041797888,happy
0.770336,0.15257496,0.41489822,0.041993607,0.04223268,0.042113144,0.28108764,0.30923274,0.30335036,0.5135572,0.48611793,1.3823334,0.3360293,0.006889469,happy
0.7116988,0.11780126,0.31565344,0.042919435,0.03180278,0.037361108,0.234717,0.3149755,0.3152511,0.51941216,0.5027341,1.2765123,0.3108494,0.0015380413,happy
0.76504683,0.18223728,0.47663733,0.08107759,0.080470935,0.08077427,0.52146894,0.2896461,0.29104725,0.521826,0.5066788,1.2663115,0.32079846,0.018976087,happy
0.6910224,0.030069923,0.08880968,0.07856029,0.057732206,0.06814625,0.46083844,0.2887468,0.29567844,0.52570856,0.5085465,1.2636032,0.30241054,0.045658506,happy
0.7965519,0.11904276,0.28538412,0.05004468,0.07382573,0.061935205,0.39463598,0.31019834,0.30253205,0.50664556,0.51286316,1.223985,0.2951874,0.035169523,happy
0.74288124,0.12431196,0.34317416,0.10919885,0.09208128,0.10064007,0.65881604,0.27740142,0.28601924,0.5080128,0.5182121,1.2974306,0.27896842,0.011092754,happy
0.7229216,0.027786868,0.07573767,0.07010256,0.07318055,0.07164155,0.472535,0.30687907,0.30844334,0.504112,0.51169705,1.2345021,0.236007,0.01438477,happy
0.75913846,0.21396834,0.5286611,0.061563548,0.095612414,0.07858798,0.4642174,0.28828782,0.25722393,0.5133298,0.46181348,1.2755011,0.3796746,0.023042807,happy
0.7639611,0.04736106,0.11834394,0.06899264,0.07257062,0.07078163,0.44622937,0.2711278,0.2890882,0.4767307,0.53233594,1.2252423,0.24774243,0.062305473,happy
0.6751929,0.018861033,0.054551564,0.07839077,0.082995355,0.08069306,0.5058766,0.27398312,0.28625107,0.48361325,0.5226559,1.2283174,0.25103915,0.0011293076,happy
0.7006742,0.14620852,0.38747948,0.095932126,0.091600716,0.09376642,0.5703352,0.29301086,0.29534662,0.48018056,0.518645,1.2249566,0.3261317,0.04523591,happy
0.7163331,0.1301042,0.3368945,0.07847836,0.08145656,0.079967454,0.49459472,0.27303475,0.28432292,0.47516817,0.5217952,1.2004449,0.262997,0.017668959,happy
0.6706739,0.09534794,0.27811497,0.11318266,0.111054674,0.11211866,0.7365763,0.29906774,0.28717223,0.51173544,0.47406295,1.2020952,0.28578284,0.015604023,happy
0.6948662,0.16710171,0.44126648,0.07609795,0.08316042,0.07962918,0.47362512,0.25754854,0.28227788,0.4675156,0.49997202,1.230452,0.29218516,0.023964513,happy
0.7274939,0.20317282,0.5250878,0.06447116,0.09162206,0.07804662,0.494879,0.2925179,0.29214856,0.51671356,0.49589527,1.1868081,0.28363755,0.009319024,happy
0.78461206,0.15985169,0.4021784,0.07274371,0.084178135,0.078460924,0.51166964,0.26174584,0.26912972,0.49586198,0.5158029,1.2977846,0.29256037,0.027410753,happy
0.74201584,0.16771168,0.45014882,0.061602194,0.06586431,0.06373325,0.4111878,0.31258377,0.3027111,0.52840865,0.52192247,1.3212727,0.29625183,0.053777285,happy
0.71823466,0.090035416,0.23581533,0.06285444,0.05270585,0.057780143,0.36955687,0.28285834,0.2716464,0.5110239,0.48996803,1.2151563,0.27406818,0.013544595,happy
0.66062665,0.11696615,0.34750873,0.046271678,0.03512534,0.04069851,0.27652785,0.2914983,0.2883372,0.50590205,0.48592827,1.288216,0.34271154,0.06698818,happy
0.7695508,0.048569683,0.12040391,0.07507225,0.06827504,0.07167365,0.4542195,0.2718287,0.29165146,0.47925633,0.53390485,1.2144762,0.25377783,0.060956184,happy
0.7550264,0.19864324,0.52108794,0.09885858,0.097730994,0.09829479,0.63575876,0.29361722,0.28645962,0.5130338,0.4837283,1.2730339,0.3050524,0.03680852,happy
0.69602424,0.058826312,0.16247551,0.07561457,0.08373492,0.07967475,0.5003305,0.2720099,0.2844095,0.48217535,0.52375555,1.2175757,0.27342594,0.005409027,happy
0.70180476,0.1526996,0.4343996,0.069295146,0.07859989,0.07394753,0.47127512,0.31090072,0.27598903,0.5452105,0.48116514,1.3176169,0.36787593,0.014168926,happy
0.7406251,0.12830977,0.32456747,0.05008077,0.0285658,0.039323285,0.24142115,0.320796,0.3144296,0.52275413,0.50158656,1.2869266,0.32044995,0.005656827,happy
0.84187275,0.12148653,0.2908883,0.0654216,0.06804315,0.06673238,0.43634173,0.29997948,0.312321,0.52082735,0.52969337,1.2745289,0.27472848,0.007857845,happy
0.73252106,0.110746585,0.3107286,0.07409331,0.0676906,0.070891954,0.49547306,0.30535585,0.313218,0.48102975,0.5022163,1.321995,0.28162718,0.044767704,happy
0.81694275,0.12078807,0.32218233,0.13074006,0.079829544,0.1052848,0.7162555,0.3129911,0.32358134,0.5275666,0.5206582,1.381127,0.29358023,0.05871104,happy
0.7529449,0.05051853,0.12615049,0.09258922,0.07339865,0.08299393,0.5194941,0.26691973,0.27101278,0.49236265,0.49905953,1.2090949,0.24151604,0.1330398,happy
0.76713717,0.12456116,0.29651785,0.06020346,0.051653795,0.05592863,0.34104386,0.28253353,0.29686224,0.5050559,0.52320325,1.2377894,0.27611384,0.07430856,happy
0.70047706,0.10302941,0.27673167,0.087360665,0.072337545,0.0798491,0.5040848,0.27873442,0.28225517,0.49068084,0.45748082,1.1996601,0.23118195,0.011466193,happy
0.7349039,0.20473085,0.55738264,0.07648577,0.07481739,0.07565158,0.49776134,0.28895316,0.27812284,0.5179818,0.5019909,1.2980213,0.31914797,0.03897564,happy
0.71972036,0.11207681,0.32579154,0.051612526,0.06847538,0.060043957,0.4245185,0.2920073,0.27391705,0.5237695,0.49591476,1.3343619,0.28859857,0.008454463,happy
0.7320372,0.20957275,0.54228914,0.066547446,0.09081965,0.07868355,0.49800396,0.29197666,0.29530695,0.51818675,0.4976152,1.1880721,0.2817577,0.0070788744,happy
0.7141699,0.1405056,0.3652608,0.07988061,0.0850617,0.08247116,0.50531775,0.27265602,0.2892977,0.47353607,0.52610946,1.2009149,0.27322516,0.022288334,happy
0.7944608,0.10424204,0.24677816,0.049349308,0.075559735,0.06245452,0.388509,0.30938712,0.3021671,0.50572175,0.5123816,1.2232624,0.29087827,0.036399074,happy
0.693459,0.13950492,0.38822314,0.09352701,0.09960632,0.09656666,0.60127234,0.2919869,0.27946904,0.5221301,0.49007136,1.2791396,0.35428172,0.0011834969,happy
0.7314798,0.12951775,0.35246247,0.07912594,0.092723414,0.08592468,0.5525927,0.2777523,0.27814636,0.5224488,0.501147,1.2727743,0.30091146,0.010916263,happy
